title,directions
Beefsteak Pizzaiola,"While flank steak is partially frozen, slice into 1/4 x 2-inch strips. Allow to completely thaw., Heat oil in a large skillet until almost smoking., Sear steak on both sides., Add onion, garlic, tomatoes, bell pepper and herbs., Simmer, covered, for 1 hour, adding water if liquid boils off. Add mushrooms and wine. Continue to simmer until mushrooms are cooked. Serve with white rice., Serves 6 people."
Apple Dessert,"Preheat oven to 350°., Place in layers in greased 9 or 10-inch square baking dish apples, sugar and dry cake mix., Pour melted margarine over top of cake mix., Bake for 35 minutes."
Cloud Biscuits,"Sift dry ingredients and cut into shortening., Combine egg and milk with a fork., Add to first mixture., Bake in 450° oven for 10 to 14 minutes., Very light and delicious."
Leftover Meat Pie,"Heat gravy., Add cubed meat, cubed or mashed potatoes and peas., Cover with pie crust., Bake in a 400° oven for 10 minutes and then for about 20 additional minutes at 350°."
Punch Bowl Cake,"Let Cool Whip stand at room temperature., Drain juice from fruit; mix pudding., Put some of each on each layer of cake., Save a few for top layer., This will fill a large punch bowl and costs about $15.00., Make cake and let cool."
Fruit Cocktail Cake,"Combine cake mix, fruit cocktail with syrup, 1 cup coconut and the eggs in large mixing bowl., Blend, then beat at medium speed for 2 minutes., Pour into greased 13 x 9-inch pan and sprinkle with brown sugar., Bake at 325° for 45 minutes."
Two-Corn Casserole,"Saute first three ingredients., Place in 2 qt. casserole dish. Add next 3 ingredients., Blend until mixed., Sprinkle cheese on top., Bake 45-55 minutes at 350 degrees."
Romanian Cabbage Soup With Bacon(Ciorba Teraneasca)  ,"You will, need a large soup pot., Chop up one slice of bacon, and fry it in a heavy stewpan until the fat runs., Fry the onions in the fat until they are golden., Add the peppers and fry them, too., Remove the stewpan from the heat., Layer the cabbage and the rest of the bacon into the soup pot., Season between the layers with salt, pepper and the herbs., Pour the water over it all and bring to a boil."
Grilled French Bread,"Mix butter, parsley, onions, garlic powder and celery salt. Cut bread into 1-inch slices, cutting to bottom crust but not through., Spread butter mixture on each slice., Wrap in heavy-duty aluminum foil., Heat over hot coals for about 20 minutes., Turn often during heating."
French Vanilla Ice Cream,"Mix sugar, salt, milk and egg yolks in saucepan., Cook over medium heat, stirring constantly, just until bubbles appear around edge of mixture in pan., Cool to room temperature., Stir in vanilla and cream., Pour into freezer can and freeze., Makes 6 quarts."
Rise 'N Shine Shake,"Reserve 3 strawberries., In blender, put in remaining strawberries, banana, milk, yogurt and honey., Cover; blend at medium-low until thick and smooth., Pour into chilled glasses; sprinkle with nutmeg., Garnish with strawberry."
Caramel Brownies,"Soften butter., Add remaining ingredients except confectioners sugar and mix together well., Pour into greased pan., Bake for 25 to 30 minutes at 350°., Sprinkle confectioners sugar on top of brownies while they are still hot."
Banana Bread,"*Can use buttermilk or 2 tablespoons milk and 1 tablespoon vinegar, combined."
Red Snapper Court-Bouillon(Serves 6 To 8)  ,"Pour tomatoes in a large roasting pan over stove., Cut garlic into tiny pieces and add to pan., Add mushrooms., Salt and pepper a whole dressed snapper., Place in roasting pan., Pour sauce over fish and bake at 350° for 40 to 60 minutes or until fish flakes easily., Baste every 15 minutes with sauce., Remove fish and thicken sauce with flour., Add Worcestershire., Serve over hot rice."
Nachos,"Spread out the nachos in a single layer on a baking sheet. Cook the onion with the meat until no pink remains, but do not brown., Add tomato sauce and seasoning; combine well., Place a spoonful of meat mixture on each chip and sprinkle grated cheese over all., Place under preheated broiler for 2 to 3 minutes or until cheese has melted., Sprinkle tomato and lettuce over all. Serve at once."
Pumpkin Pie Cake,Mix ingredients and press into a 9 x 13-inch baking dish.
Applesauce,"Put in, a crock-pot (slow cooker) and cook on low for 8 to 10 hours."
Cole Slaw For Freezing,"Shred these ingredients medium fine., Mix all together and let stand 1 hour., Make syrup for cole slaw and let cool."
Orange Nut Bread,"Heat oven to 350°., In a large bowl, combine all ingredients except nuts; stir just until moistened., Stir in nuts., Pour into greased 8 x 4-inch loaf pan., Bake for 50 to 60 minutes., Check with toothpick., Cool 10 minutes., Remove from pan."
Chicken And Rice,"In a large nonstick Dutch oven, heat the oil on medium heat. Add chicken. Cook until lightly browned, turning once, about 8 minutes., Transfer to a plate and keep warm. Add bell pepper, onion and jalapeo pepper to pan. Cook for 5 minutes. Stir in rice. Saut for 1 minute. Add the broth, water and tomatoes with liquid. Break up tomatoes with a spoon. Return chicken to pan."
Bean Dip,"Mix all ingredients until well blended., Serve hot. (Hamburger or sausage may be added.)"
Cranberry-Apple Waldorf,"In large bowl, mix unflavored gelatine with sugar., Add boiling water and stir until gelatine is completely dissolved, about 5 minutes., Stir in cranberry juice., Chill, stirring occasionally, until mixture is consistency of unbeaten egg whites, about 45 minutes., Fold in remaining ingredients."
Delicious Vegetable Dip,"Mix ingredients in a large bowl., Then serve with fresh vegetables., Mixture is best made day before and refrigerated overnight."
Nany'S Pound Cake,"Start with cold oven., Cream butter, Crisco and sugar together., Add eggs, one at a time, mixing thoroughly after each addition., Add flour and milk alternately, mixing well., Add flavoring and mix well., Grease and flour tube pan., Bake at 325° for 1 hour and 15 minutes., Frost with Cream Cheese Icing."
M&M Cookies,"Cream oil, sugar, milk, vanilla and egg., Slowly add and stir in flour, salt and soda., Stir in M&M's, but do not overstir., Add cookie dough to baking sheet (1 tablespoon for larger cookies) and bake at 375° for 8 to 10 minutes or at 350° for 12 minutes."
Skillet Meat Loaf,"Combine ground beef, soup mix and sour cream., Add bread crumbs or oatmeal if too runny., Form into loaf., Place in skillet and cover with tomato soup., Cover and cook on medium heat for 50 minutes or until done."
Lazy Day Cobbler,"Put margarine in deep dish and melt in oven or microwave., Mix sugar, flour, baking powder, salt and milk., Beat to a smooth batter., Pour over melted butter., Do not stir., Empty cherries (not drained) over batter., Sprinkle with sugar., Bake at 350° for 30 to 45 minutes., Butter will rise to top."
Light And Lively Salad,"Mix together pudding and pie filling and pineapple., Add marshmallows and Cool Whip., Chill in mold in refrigerator. Unmold and sprinkle with nuts., (Cherries may be added, if desired.)"
Easy Chicken Pie,"Put chicken in bottom of baking dish. Cut up boiled eggs on top of chicken. Mix can of cream of chicken and can of chicken broth. Pour over chicken. Mix flour with partly melted butter. Mix in milk and pour over chicken. Bake at 375° for 45 minutes, until golden brown."
Funnel Cakes,"In mixing bowl combine eggs and milk. Sift together flour, baking powder and salt. Add to egg mixture. Beat until smooth. In deep skillet heat oil to 360 degrees. Cover funnel spout with finger. Pour 1/4 cup batter into funnel. Remove finger and release batter into oil in a spiral, starting in the center and working out. Fry from 2-3 minutes until golden brown. Turn carefully. Cool 1 minute. Drain on paper towel and dust with powdered sugar."
Cranberry Christmas Punch,"Dissolve cherry gelatin in boiling water., Stir in the lemonade concentrate., Add cold water and cranberry juice cocktail., Place 2 trays of ice cubes or a molded ice ring in a large punch bowl., Pour punch over ice., Pour in chilled ginger ale., Yields 25 servings."
Roommate'S Hodgepodge(Herb Lucas)  ,"Brown together beef, garlic, onion and celery, then drain. Add remaining ingredients and simmer 30 to 35 minutes."
Mushroom Bites,"Combine cream cheese, milk, thyme and parsley., Fill mushroom caps with cheese mixture., Bake in oven at 350° for 15 minutes."
Slender Soup,Mix together and cook on medium heat until vegetables are tender.
Never Fail Rice Pudding,"Cook rice, milk and margarine in top of double boiler, stirring occasionally for 1 hour. Stir eggs, sugar, extract and a dash of salt in buttered 2-quart casserole., Pour hot mixture into egg mixture and stir well., Place casserole in pan of hot water in oven., Stir coconut in after 15 minutes at 325°., Pudding is done when knife comes out clean."
Meatballs,"Mix together ground beef, bread crumbs, onions, milk, egg, parsley, salt, pepper, Worcestershire sauce and shortening., Form into small balls., Place on broiler rack and broil for 8 minutes."
Hot Fudge Sauce,"Combine in a saucepan and bring to a boil over medium heat and boil gently for 5 minutes, stirring constantly., Add 1 teaspoon vanilla and beat with mixer for 1 minute., Store in refrigerator."
Crock-Pot Chicken And Dumplings,"Mix gravy and broth in crockpot until smooth., Stir in chicken, vegetables and mushrooms., Cover and cook on low 4 hours. Stir in peas; mix sour cream and flour., Stir into chicken. Cover and cook on high 20 minutes., Mix Bisquick and milk until just moistened., Drop spoonfuls onto chicken mixture., Cover and cook on high 45 to 50 minutes until dumplings are done., Makes 4 servings."
Zucchini Soup,"Make crisscross, deep vertical cuts in zucchini and slice in thick 1/4-inch slices which will yield quarters."
White Fruit Cake,"Sift flour and mix with fruit and nuts., Mix sugar and butter well and add eggs and flavoring. Add fruit and nuts until mixture is smooth., Put into a greased tube pan., Put into a cold oven and bake at 225° for 2 to 2 1/2 hours."
May'S Muffins,"Mix flour, mayonnaise and milk; stir until smooth., Spoon into 6 well-greased muffin cups., Bake at 425° for 20 minutes."
Divinity,"Beat egg whites until stiff. Put aside., Combine sugar, syrup, water and salt in a 3-quart pan., Bring to a boil, 252°, using a candy thermometer, if available., If not, drop a little of the mixture into cold water., If it forms a hard ball, it is ready. Remove from heat and begin to pour in a fine stream into stiffly beaten egg whites., Beat on high speed with electric mixer until mixture holds its shape and loses its gloss., Add 1 teaspoon of vanilla and walnuts., Spoon out on waxed paper and let cool (approximately 2 hours)."
Cherry Cheese Bars,"Preheat oven to 350°., Grease a 13 x 9 x 2-inch baking pan. Cream the butter and sugar with electric mixer in large mixing bowl until light and fluffy., Add 1 egg; beat well., Stir in 1 1/2 cups flour and salt until well blended., Reserve 1 cup of mixture by spooning lightly in measuring cup; set aside., Press remaining crust mixture into prepared pan., Bake for 15 minutes."
Milky Way Ice Cream,"Melt candy bars with small amount of milk in microwave., Add Eagle Brand milk; mix well., Put in 5-quart ice cream freezer and fining filling with milk to full line., Freeze as usual in your ice cream freezer."
Frosted Cauliflower,"Boil whole head of cauliflower for about 20 minutes, or until tender., Do not overcook., Take it out of the water and drain it well., Using two forks to handle it works best., Place the cauliflower on the center of the serving plate with the stem side down., If it does not sit straight, you may have to cut the stem some., Mix mayonnaise and mustard in a cup, and ""frost"" the cauliflower with the mixture., Remove the lid from a jar of cheese whiz and microwave it until it is hot., Pour the cheese whiz over the cauliflower., Sprinkle top with creole, and Voile!, Serve while hot."
